PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,Friend1Strength,Friend2Strength,Friend3Strength,Friend4Strength,Friend5Strength,Friend6Strength,Study1Name,Study2Name,Study3Name,Study4Name,Study5Name,Study6Name,Study1Strength,Study2Strength,Study3Strength,Study4Strength,Study5Strength,Study6Strength,Support1Name,Support2Name,Support3Name,Support4Name,Support5Name,Support6Name,Support1Strength,Support2Strength,Support3Strength,Support4Strength,Support5Strength,Support6Strength
383,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
385,546,283,94,96,18,,4,4,4,4,4,NA,546,18,283,94,96,,3,3,3,3,3,NA,,,,,,,NA,NA,NA,NA,NA,NA
387,384,,,,,,2,NA,NA,NA,NA,NA,384,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
388,250,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,250,,,,,,3,NA,NA,NA,NA,NA
390,475,144,243,92,,,4,2,3,1,NA,NA,475,144,,,,,2,2,NA,NA,NA,NA,475,144,,,,,2,2,NA,NA,NA,NA
391,428,310,316,,,,5,5,5,NA,NA,NA,428,,,,,,3,NA,NA,NA,NA,NA,428,316,310,,,,4,3,3,NA,NA,NA
392,339,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
394,493,307,527,423,271,,4,3,4,3,2,NA,,,,,,,NA,NA,NA,NA,NA,NA,527,493,,,,,3,1,NA,NA,NA,NA
396,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
397,118,234,79,423,552,,4,3,5,3,3,NA,,,,,,,NA,NA,NA,NA,NA,NA,118,,,,,,1,NA,NA,NA,NA,NA
398,102,450,443,381,,,4,4,3,1,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,102,,,,,,2,NA,NA,NA,NA,NA
399,230,3,69,429,,,5,4,5,4,NA,NA,230,429,69,3,,,1,2,2,2,NA,NA,230,429,69,3,,,2,3,3,2,NA,NA
403,505,,,,,,5,NA,NA,NA,NA,NA,505,,,,,,2,NA,NA,NA,NA,NA,505,,,,,,2,NA,NA,NA,NA,NA
404,225,382,,,,,3,1,NA,NA,NA,NA,225,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
409,402,516,47,285,,,5,2,2,2,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,402,,,,,,2,NA,NA,NA,NA,NA
421,468,549,458,300,67,,3,4,3,2,1,NA,,,,,,,NA,NA,NA,NA,NA,NA,468,,,,,,1,NA,NA,NA,NA,NA
423,270,311,101,533,292,530,5,4,3,4,3,2,270,533,,,,,2,2,NA,NA,NA,NA,270,311,101,533,,,3,3,2,3,NA,NA
425,77,505,249,,,,1,1,1,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
428,391,316,310,97,170,8,5,3,3,3,2,3,391,,,,,,3,NA,NA,NA,NA,NA,391,,,,,,3,NA,NA,NA,NA,NA
429,69,3,399,,,,5,3,2,NA,NA,NA,69,3,399,,,,2,1,1,NA,NA,NA,69,3,,,,,3,2,NA,NA,NA,NA
439,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
442,214,274,509,195,,,4,3,2,3,NA,NA,509,214,,,,,2,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
443,398,450,222,102,540,363,3,3,4,3,4,2,540,,,,,,2,NA,NA,NA,NA,NA,540,398,222,,,,2,3,2,NA,NA,NA
447,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
450,398,102,443,,,,4,3,2,NA,NA,NA,398,,,,,,2,NA,NA,NA,NA,NA,398,102,,,,,4,1,NA,NA,NA,NA
451,40,521,,,,,5,5,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,521,40,,,,,4,2,NA,NA,NA,NA
454,219,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,219,,,,,,2,NA,NA,NA,NA,NA
455,468,32,338,,,,4,4,4,NA,NA,NA,468,,,,,,1,NA,NA,NA,NA,NA,32,338,,,,,3,2,NA,NA,NA,NA
456,501,227,526,191,519,275,5,4,3,3,5,2,519,501,,,,,3,2,NA,NA,NA,NA,519,501,526,227,275,191,4,3,2,1,1,2
457,372,289,500,468,217,175,4,5,5,3,2,3,289,,,,,,1,NA,NA,NA,NA,NA,289,,,,,,2,NA,NA,NA,NA,NA
459,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
460,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
461,317,126,440,334,169,361,5,4,4,4,4,4,317,169,219,417,126,,3,3,2,2,2,NA,317,334,361,199,169,37,2,2,2,1,2,1
462,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
463,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
465,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
466,499,285,310,,,,3,3,1,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
467,278,45,,,,,5,5,NA,NA,NA,NA,45,,,,,,2,NA,NA,NA,NA,NA,45,,,,,,3,NA,NA,NA,NA,NA
468,549,378,421,365,372,457,5,4,5,4,3,3,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
472,534,132,19,157,,,5,5,3,3,NA,NA,534,132,,,,,2,3,NA,NA,NA,NA,132,534,,,,,4,2,NA,NA,NA,NA
473,67,157,472,214,8,132,3,3,3,3,3,1,157,67,214,,,,1,1,1,NA,NA,NA,67,472,,,,,3,2,NA,NA,NA,NA
477,349,447,511,208,464,,5,4,3,2,2,NA,349,,,,,,3,NA,NA,NA,NA,NA,349,,,,,,4,NA,NA,NA,NA,NA
481,384,523,517,376,,,4,3,3,3,NA,NA,384,,,,,,3,NA,NA,NA,NA,NA,384,,,,,,2,NA,NA,NA,NA,NA
486,115,27,526,128,,,5,4,3,2,NA,NA,115,128,,,,,2,1,NA,NA,NA,NA,115,27,,,,,4,2,NA,NA,NA,NA
488,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
490,298,185,111,,,,4,4,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,298,,,,,,2,NA,NA,NA,NA,NA
491,375,295,160,,,,3,2,4,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,375,160,,,,,2,2,NA,NA,NA,NA
493,307,394,167,,397,,5,5,3,NA,3,NA,307,394,,,,,2,2,NA,NA,NA,NA,307,,,,,,1,NA,NA,NA,NA,NA
495,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
497,509,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
498,207,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,207,,,,,,2,NA,NA,NA,NA,NA
500,457,289,372,468,251,87,4,5,2,2,3,2,289,457,,,,,2,3,NA,NA,NA,NA,289,457,,,,,4,3,NA,NA,NA,NA
504,474,174,172,184,,,5,4,5,4,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,172,474,184,174,41,,3,4,2,1,1,NA
506,88,237,516,244,230,365,5,5,5,3,3,3,237,516,,,,,1,2,NA,NA,NA,NA,237,88,516,,,,3,2,4,NA,NA,NA
507,529,294,,,,,5,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,529,,,,,,4,NA,NA,NA,NA,NA
508,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
509,145,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
510,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
511,177,217,325,128,420,,5,3,2,3,2,NA,177,,,,,,2,NA,NA,NA,NA,NA,177,,,,,,4,NA,NA,NA,NA,NA
515,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
516,36,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
519,456,275,501,227,101,,5,5,3,5,1,NA,456,227,,,,,2,2,NA,NA,NA,NA,456,,,,,,4,NA,NA,NA,NA,NA
521,451,46,,,,,4,4,NA,NA,NA,NA,46,,,,,,2,NA,NA,NA,NA,NA,451,,,,,,2,NA,NA,NA,NA,NA
522,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
524,122,46,65,,,,3,1,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,122,,,,,,1,NA,NA,NA,NA,NA
525,500,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
530,170,423,202,399,,,2,2,2,3,NA,NA,399,202,170,,,,2,2,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
533,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
534,472,309,288,191,280,66,5,5,5,5,5,5,280,472,191,,,,1,1,1,NA,NA,NA,191,472,280,,,,3,3,3,NA,NA,NA
537,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
543,341,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
546,283,94,96,385,18,28,NA,NA,NA,NA,NA,NA,283,96,94,18,385,28,NA,NA,NA,NA,NA,NA,283,94,18,96,385,28,NA,NA,NA,NA,NA,NA
548,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
549,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
550,158,469,327,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
