PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,Friend1Strength,Friend2Strength,Friend3Strength,Friend4Strength,Friend5Strength,Friend6Strength,Study1Name,Study2Name,Study3Name,Study4Name,Study5Name,Study6Name,Study1Strength,Study2Strength,Study3Strength,Study4Strength,Study5Strength,Study6Strength,Support1Name,Support2Name,Support3Name,Support4Name,Support5Name,Support6Name,Support1Strength,Support2Strength,Support3Strength,Support4Strength,Support5Strength,Support6Strength
309,288,534,,,,,5,5,NA,NA,NA,NA,458,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
310,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
311,423,435,128,,,,5,4,1,NA,NA,NA,423,435,,,,,1,2,NA,NA,NA,NA,423,,,,,,1,NA,NA,NA,NA,NA
313,489,,,,,,4,NA,NA,NA,NA,NA,489,,,,,,3,NA,NA,NA,NA,NA,489,,,,,,3,NA,NA,NA,NA,NA
314,82,412,199,,,,5,3,3,NA,NA,NA,82,412,,,,,1,1,NA,NA,NA,NA,82,412,,,,,1,2,NA,NA,NA,NA
315,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
317,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
318,458,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
320,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
322,199,547,,,,,4,3,NA,NA,NA,NA,199,547,,,,,2,2,NA,NA,NA,NA,199,547,,,,,3,3,NA,NA,NA,NA
324,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
326,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
327,122,108,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,108,122,,,,,4,4,NA,NA,NA,NA
328,126,178,304,461,,,4,2,3,3,NA,NA,126,178,304,,,,1,2,2,NA,NA,NA,126,,,,NA,NA,1,NA,NA,NA,NA,NA
329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
331,186,184,,,,,2,2,NA,NA,NA,NA,186,184,,,,,3,3,NA,NA,NA,NA,186,184,,,,,4,4,NA,NA,NA,NA
333,394,,,,,,2,NA,NA,NA,NA,NA,394,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
334,461,336,233,26,199,154,3,2,2,2,3,2,336,233,,,,,3,3,NA,NA,NA,NA,461,,,,,,4,NA,NA,NA,NA,NA
336,233,461,334,417,480,440,5,4,4,3,3,2,233,334,417,,,,1,2,2,NA,NA,NA,233,334,417,,,,2,3,3,NA,NA,NA
339,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
342,38,487,,,,,5,3,3,NA,NA,NA,38,,,,,,1,NA,NA,NA,NA,NA,38,,,,NA,NA,1,NA,NA,NA,NA,NA
343,471,131,298,249,185,9,5,2,2,1,2,2,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
346,516,532,411,,,,3,3,3,NA,NA,NA,516,411,,,,,3,3,NA,NA,NA,NA,411,,,,NA,NA,3,NA,NA,NA,NA,NA
347,354,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
350,181,452,561,,,,5,3,4,NA,NA,NA,181,,,,,,1,NA,NA,NA,NA,NA,181,,,,,,1,NA,NA,NA,NA,NA
351,395,449,,,,,4,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
352,49,198,,,,,5,5,NA,NA,NA,NA,49,198,,,,,1,2,NA,NA,NA,NA,49,198,,,,,1,1,NA,NA,NA,NA
353,170,516,308,,,,3,5,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
354,,,,,,,1,NA,NA,NA,NA,NA,,,,,,,3,NA,NA,NA,NA,NA,,,,,NA,NA,4,NA,NA,NA,NA,NA
356,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
359,189,453,259,253,148,300,5,3,4,5,3,3,189,453,259,,,,1,3,2,NA,NA,NA,148,300,259,189,,,4,4,2,1,NA,NA
360,262,517,75,418,243,53,5,2,3,2,2,3,262,,,,,,1,NA,NA,NA,NA,NA,262,,,,NA,NA,1,NA,NA,NA,NA,NA
361,417,154,461,440,26,233,3,4,2,2,2,2,154,,,,,,2,NA,NA,NA,NA,NA,154,,,,,,1,NA,NA,NA,NA,NA
362,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
363,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
365,378,424,244,345,468,453,3,3,5,1,4,3,244,424,,,,,2,2,NA,NA,NA,NA,244,,,,NA,NA,2,NA,NA,NA,NA,NA
366,369,300,27,238,286,,1,1,3,3,3,NA,286,238,27,,,,2,2,3,NA,NA,NA,286,27,,,,,2,2,NA,NA,NA,NA
367,379,231,88,,,,5,4,3,NA,NA,NA,379,231,,,,,2,2,NA,NA,NA,NA,472,534,,,NA,NA,3,3,NA,NA,NA,NA
368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,389,337,524,300,,,3,4,2,1,NA,NA,337,389,,,,,3,3,NA,NA,NA,NA,337,389,524,300,NA,NA,2,2,2,3,NA,NA
370,203,359,98,78,,,5,3,3,1,NA,NA,203,,,,,,1,NA,NA,NA,NA,NA,203,,,,NA,NA,1,NA,NA,NA,NA,NA
371,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
372,457,468,300,306,,,4,4,2,1,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,457,468,,,,,2,3,NA,NA,NA,NA
376,523,517,332,,,,5,2,3,NA,NA,NA,523,517,,,,,1,2,NA,NA,NA,NA,523,,,,,,1,NA,NA,NA,NA,NA
378,365,177,217,292,533,415,4,3,3,3,2,2,365,177,,,,,2,1,NA,NA,NA,NA,365,177,,,NA,NA,2,2,NA,NA,NA,NA
379,367,231,36,,,,5,5,4,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,36,,,,,,1,NA,NA,NA,NA,NA
381,398,453,,,,,2,2,NA,NA,NA,NA,398,453,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
385,546,18,336,373,,,3,3,3,3,NA,NA,546,18,,,,,2,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
387,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
388,250,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
390,210,475,243,418,,,5,4,3,2,NA,NA,210,,,,,,1,NA,NA,NA,NA,NA,210,475,243,,,,1,3,3,NA,NA,NA
391,428,316,310,516,1,,5,4,5,3,4,NA,428,,,,,,1,NA,NA,NA,NA,NA,428,,,,,,1,NA,NA,NA,NA,NA
392,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
394,493,307,527,,,,3,3,5,NA,NA,NA,527,,,,,,2,NA,NA,NA,NA,NA,527,,,,,,2,NA,NA,NA,NA,NA
396,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
397,118,234,,,,,4,3,NA,NA,NA,NA,118,234,,,,,1,2,NA,NA,NA,NA,118,,,,,,2,NA,NA,NA,NA,NA
398,450,102,443,,,,5,5,5,NA,NA,NA,450,,,,,,2,NA,NA,NA,NA,NA,450,,,,NA,NA,2,NA,NA,NA,NA,NA
399,429,69,470,3,,,5,5,5,4,NA,NA,69,429,470,,,,2,3,3,NA,NA,NA,429,470,69,,,,3,3,3,NA,NA,NA
402,79,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
403,505,,,,,,3,NA,NA,NA,NA,NA,505,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
404,225,507,538,,,,4,3,2,NA,NA,NA,225,507,,,,,1,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
405,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
406,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
409,402,516,1003,285,286,448,5,4,2,4,2,3,402,516,285,,,,2,3,3,NA,NA,NA,402,285,,,,,2,4,NA,NA,NA,NA
410,459,1004,15,78,,,5,5,3,5,NA,NA,459,1004,78,,,,2,2,2,NA,NA,NA,459,1004,78,,,,2,3,3,NA,NA,NA
412,82,314,96,562,219,283,4,4,4,3,3,2,82,314,96,,,,1,1,2,NA,NA,NA,283,82,,,,,4,4,NA,NA,NA,NA
413,463,524,289,366,,,3,3,3,3,NA,NA,463,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
417,361,154,480,461,440,233,5,5,3,4,2,4,,,,,,,NA,NA,NA,NA,NA,NA,361,154,,,,,1,1,NA,NA,NA,NA
419,122,112,292,453,378,,3,4,2,3,3,NA,112,122,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
421,468,458,67,389,66,,3,4,1,1,2,NA,468,458,,,,,2,3,NA,NA,NA,NA,468,458,,,NA,NA,3,4,NA,NA,NA,NA
423,101,270,530,165,435,,5,5,2,3,2,NA,270,165,101,435,530,,1,2,3,3,2,NA,101,270,,,NA,NA,2,2,NA,NA,NA,NA
425,201,505,,,,,2,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
428,391,468,218,,,,5,3,5,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
429,69,470,399,,,,5,5,5,NA,NA,NA,69,470,399,,,,2,3,2,NA,NA,NA,69,470,,,NA,NA,2,2,NA,NA,NA,NA
433,40,306,472,,,,5,3,4,NA,NA,NA,472,40,306,,,,2,1,2,NA,NA,NA,472,,,,,,2,NA,NA,NA,NA,NA
439,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
442,214,352,456,509,510,,4,2,2,2,3,NA,509,510,214,,,,2,2,1,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
443,398,450,222,102,227,456,4,3,4,2,3,2,398,450,227,456,,,3,3,3,3,NA,NA,398,222,450,,NA,NA,2,3,3,NA,NA,NA
445,104,57,,,,,4,2,NA,NA,NA,NA,104,57,,,,,1,2,NA,NA,NA,NA,104,57,,,,,2,3,NA,NA,NA,NA
447,477,,,,,,4,NA,NA,NA,NA,NA,477,,,,,,2,NA,NA,NA,NA,NA,477,,,,NA,NA,2,NA,NA,NA,NA,NA
448,40,504,172,458,,,1,1,2,2,NA,NA,458,172,,,,,2,2,NA,NA,NA,NA, ,,,,,,NA,NA,NA,NA,NA,NA
449,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
450,398,102,443,,,,4,4,2,NA,NA,NA,398,102,,,,,2,2,NA,NA,NA,NA,398,102,,,,,3,2,NA,NA,NA,NA
451,521,46,,,,,4,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
453,359,329,261,278,529,534,5,5,3,3,2,2,329,359,165,,,,3,3,3,NA,NA,NA,329,,,,,,3,NA,NA,NA,NA,NA
454,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
455,468,,,,,,4,NA,NA,NA,NA,NA,468,,,,,,2,NA,NA,NA,NA,NA,468,,,,,,4,NA,NA,NA,NA,NA
456,519,227,501,526,275,,5,5,4,3,3,NA,519,501,227,275,526,,1,2,1,3,3,NA,519,227,501,526,275,,2,3,2,4,4,NA
457,500,289,372,468,,,4,4,4,2,NA,NA,500,289,372,,,,2,2,2,NA,NA,NA,372,289,,,,,3,2,NA,NA,NA,NA
458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
460,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
461,317,361,334,480,440,126,4,4,4,4,5,4,317,480,126,219,336,,1,1,2,2,3,NA,334,336,317,440,480,233,1,3,2,1,3,4
462,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
463,449,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
465,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
466,499,,,,,,4,NA,NA,NA,NA,NA,499,,,,,,3,NA,NA,NA,NA,NA,499,,,,,,2,NA,NA,NA,NA,NA
467,45,278,,,,,5,2,NA,NA,NA,NA,45,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
468,365,455,421,106,128,428,3,4,5,3,3,3,455,106,421,,,,2,2,2,NA,NA,NA,455,421,,,,,2,2,NA,NA,NA,NA
471,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
472,534,396,270,110,435,,5,2,2,4,4,NA,534,,,,,,1,NA,NA,NA,NA,NA,534,110,,,NA,NA,2,1,NA,NA,NA,NA
473,8,433,114,157,378,341,4,1,2,4,1,2,8,157,,,,,3,2,NA,NA,NA,NA,157,114,,,NA,NA,4,4,NA,NA,NA,NA
477,447,349,99,,,,4,4,1,NA,NA,NA,349,447,,,,,2,3,NA,NA,NA,NA,349,447,,,NA,NA,1,3,NA,NA,NA,NA
479,217,252,,,,,3,3,NA,NA,NA,NA,217,252,,,,,2,3,NA,NA,NA,NA,217,,,,,,2,NA,NA,NA,NA,NA
481,384,523,,,,,3,1,NA,NA,NA,NA,384,523,,,,,1,1,NA,NA,NA,NA,384,,,,,,3,NA,NA,NA,NA,NA
484,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
486,115,27,,,,,4,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
487,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
488,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
490,249,73,298,,,,3,3,4,NA,NA,NA,298,,,,,,2,NA,NA,NA,NA,NA,298,,,,,,3,NA,NA,NA,NA,NA
491,160,33,375,452,,,2,2,3,1,NA,NA,452,375,33,,,,NA,NA,NA,NA,NA,NA,375,,,,,,3,NA,NA,NA,NA,NA
492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,307,167,394,531,,,5,3,4,5,NA,NA,307,,,,,,2,NA,NA,NA,NA,NA,307,,,,,,2,NA,NA,NA,NA,NA
495,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
496,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
497,273,500,,,,,3,3,NA,NA,NA,NA,273,,,,,,3,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
498,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
500,457,289,87,497,348,255,4,5,4,3,2,2,457,289,,,,,1,1,NA,NA,NA,NA,457,289,,,NA,NA,3,1,NA,NA,NA,NA
504,474,174,172,,,,4,4,5,NA,NA,NA,474,174,172,,,,1,1,2,NA,NA,NA,172,,,,,,3,NA,NA,NA,NA,NA
506,237,88,365,244,516,,5,4,3,2,3,NA,,,,,,,NA,NA,NA,NA,NA,NA,237,88,516,,NA,NA,2,3,3,NA,NA,NA
507,294,529,,,,,5,4,NA,NA,NA,NA,294,529,,,,,1,2,NA,NA,NA,NA,294,529,,,,,1,3,NA,NA,NA,NA
508,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
509,105,510,,,,,5,5,NA,NA,NA,NA,105,510,,,,,1,1,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
510,105,,,,,,5,NA,NA,NA,NA,NA,105,,,,,,2,NA,NA,NA,NA,NA,105,,,,,,1,NA,NA,NA,NA,NA
511,177,132,60,325,,,5,2,3,2,NA,NA,177,132,60,325,,,1,2,3,2,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
515,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
516,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
519,456,501,275,227,442,214,5,5,5,5,3,2,275,227,456,,,,2,1,2,NA,NA,NA,227,456,275,501,,,1,1,2,3,NA,NA
521,451,46,345,,,,4,4,2,NA,NA,NA,451,,,,,,1,NA,NA,NA,NA,NA,451,46,,,,,2,2,NA,NA,NA,NA
522,227,208,300,,,,1,3,1,NA,NA,NA,208,,,,,,3,NA,NA,NA,NA,NA,208,227,,,,,3,4,NA,NA,NA,NA
523,376,517,,,,,5,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
524,289,413,510,,,,2,3,2,NA,NA,NA,413,510,,,,,2,3,NA,NA,NA,NA,413,,,,,,4,NA,NA,NA,NA,NA
525,529,117,,,,,2,1,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
530,423,165,170,,,,4,5,4,NA,NA,NA,165,423,170,,,,1,2,1,NA,NA,NA,165,,,,NA,NA,2,NA,NA,NA,NA,NA
533,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
534,309,66,280,453,527,247,5,5,5,3,1,4,280,309,66,,,,2,1,3,NA,NA,NA,309,280,,,,,2,2,NA,NA,NA,NA
537,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
538,110,5,389,459,,,5,4,3,2,NA,NA,110,5,389,459,,,1,1,1,3,NA,NA,110,5,389,,,,2,3,3,NA,NA,NA
539,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
540,352,49,,,,,4,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
543,341,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,341,,,,,,4,NA,NA,NA,NA,NA
546,96,283,385,18,340,94,5,5,4,4,4,4,96,283,385,18,340,94,1,1,1,1,2,1,96,283,385,94,NA,NA,3,3,3,3,NA,NA
547,199,322,,,,,4,4,NA,NA,NA,NA,199,322,,,,,2,2,NA,NA,NA,NA,199,322,,,,,4,4,NA,NA,NA,NA
548,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
549,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
550,158,469,,,,,3,3,NA,NA,NA,NA,158,469,,,,,1,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
552,172,98,410,448,504,,5,4,4,3,3,NA,172,98,410,,,,1,2,2,NA,NA,NA,172,,,,NA,NA,1,NA,NA,NA,NA,NA
